Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4.7uF","CP_EIA-3216-18_Kemet-A",119.126000,-44.370000,90.000000,top
"C2","10uF","CP_EIA-3216-18_Kemet-A",110.110500,-63.246000,180.000000,top
"C3","C","C_0805_2012Metric",95.758000,-46.736000,270.000000,top
"C4","C","C_0805_2012Metric",109.982000,-65.786000,0.000000,top
"C5","100nF","C_0805_2012Metric",101.854000,-45.720000,0.000000,top
"C6","100nF","C_0805_2012Metric",110.236000,-59.611500,270.000000,top
"C7","100nF","C_0805_2012Metric",109.728000,-48.006000,90.000000,top
"C8","100nF","C_0805_2012Metric",95.758000,-55.880000,90.000000,top
"C9","100nF","C_0805_2012Metric",95.758000,-51.308000,90.000000,top
"C10","100nF","C_0805_2012Metric",123.190000,-49.784000,0.000000,top
"C11","10uF","C_0805_2012Metric",123.190000,-47.498000,0.000000,top
"C12","100nF","C_0805_2012Metric",91.948000,-44.958000,180.000000,top
"C13","4.7uF","C_0805_2012Metric",91.948000,-47.498000,180.000000,top
"INPUT_CONN1","CN101","Molex_200528-0080_1x08-1MP_P1.00mm_Horizontal",104.902000,-69.596000,0.000000,top
"LCD_CONN1","Conn_01x30","Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal",104.902000,-37.338000,180.000000,top
"R1","10K","R_0805_2012Metric",105.664000,-45.720000,180.000000,top
"R2","1.2M","R_0805_2012Metric",115.824000,-45.466000,0.000000,top
"R3","10K","R_0805_2012Metric",99.314000,-60.706000,270.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",104.648000,-53.594000,-90.000000,top
